Facility Code,Facility Name,Province,County,District,Division,Type,Owner,Location,Sub Location,Description of Location,Constituency,Nearest Town,Beds,Cots,Official Address,Town,In Charge,Job Title of in Charge,Open 24 Hours,Open Weekends,Operational Status
20956,AAR Health Care-Kisumu,Nyanza,Kisumu,Kisumu East,Winam,Medical Clinic,Private Practice - General Practitioner,Township,Market Milimani,Located at AL IMRAN at Oginga Odinga street,KISUMU TOWN EAST,Central Business District,0.0,0.0,P.O Box 2746,Kisumu,Vincent Hongo,Hospital Director,N,Y,Operational
18859,AAR Healthcare Limited (Karen),Nairobi,Nairobi,Langata,Lang'ata,Medical Clinic,Private Enterprise (Institution),Lang'ata,Lang'ata,"Next to Nairobi Pentecostal Church Karen, Opposite Catholic University along Langata Road.",LANG'ATA,Great Jubilee shopping  center,0.0,0.0,P.O Box 41766,Nairobi,Eunice Kamau,Nursing Officer in Charge,N,Y,Operational
12862,AAR Kariobangi Clinic,Nairobi,Nairobi,Ruaraka,Kasarani,Medical Clinic,Private Enterprise (Institution),Kasarani,NaN,NaN,RUARAKA,Nairobi,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Not-Operational
11194,AAR Medical Services (Docks),Coast,Mombasa,Mvita,Island,Medical Clinic,Private Enterprise (Institution),Ganjoni,Ganjoni,At Lulu House next to Railway Station,MVITA,Mombasa,0.0,0.0,Unknown,Unknown,Peter Munira,Unknown,N,N,Operational
20140,AAR Mountain mall,Nairobi,Nairobi,Roysambu,Roysambu,Medical Clinic,Private Practice - Nurse / Midwife,Roysambu,Garden,In  the mountain mall Naivas mall building,ROYSAMBU,Rosters,0.0,0.0,P.O Box 41766,Nairobi,Stephanie Mutunga,Nursing Officer in Charge,N,Y,Operational
14183,AAR Nakuru Clinic,Rift Valley,Nakuru,Nakuru,Municipality,Dispensary,Non-Governmental Organizations,Central,Viwanda,at Giddo plaza ground floor,NAKURU TOWN,Nakuru Town,0.0,0.0,P.O Box P.O. Box 7097,Nakuru,Antonina Musoga,Nursing Officer in Charge,N,Y,Operational
21224,AAR Outpatient Center Donholm,Nairobi,Nairobi,Embakasi East,Embakasi East,Medical Clinic,Private Practice - General Practitioner,Upper Savanna,Donholm,Donholm next to total petrol station formerly caltex,EMBAKASI EAST,Donholm,4.0,2.0,P.O Box 41766,Nairobi,Sarah Orinda,Nursing Officer in Charge,N,Y,Operational
20940,AAR Thika out Patient Centre,Central,Kiambu,Thika West,Thika Municipality,Medical Clinic,Private Practice - General Practitioner,Komu,Komu,NaN,JUJA,Wabera street opposite thika stadium zuri centre 3rd flooor,0.0,0.0,P.O Box 41766,Nairobi,Unknown,Medical Superintendant,N,Y,Operational
20848,African Muslim Agency Dispensary,Eastern,Isiolo,Garbatula,Garbatulla,Dispensary,Supreme Council for Kenya Muslims,Garbatulla South,Garbatulla south,NaN,ISIOLO SOUTH,AMA Children Home,0.0,0.0,P.O Box 34,Garbatulla,Unknown,Nursing Officer in Charge,N,N,Not-Operational
20320,African Muslim Agency- Matsangoni,Coast,Kilifi,Kilifi North,Bahari,Dispensary,Supreme Council for Kenya Muslims,Matsangoni,Matsangoni,On Mombasa-Malindi Highway about 2km from Arabuko forest near Mtsangoni,BAHARI,Matsangoni,0.0,0.0,P.O Box 1261,Kilifi,Amos Obare,Clinical Officer,Y,Y,Operational
12865,Afwan Medical Centre,Nairobi,Nairobi,Kamukunji,Pumwani,Nursing Home,Private Enterprise (Institution),Pumwani,Pumwani,Opposite Pumwani Maternity,KAMUKUNJI,Eastleigh,40.0,4.0,P.O Box 46041,Nairobi,Dr. Ali Omar Salim,Hospital Director,Y,Y,Operational
17335,Afwein Dispensary,North Eastern,Garissa,Lagdera,Shantabak,Dispensary,Ministry of Health,Shantabak,Shantabak,NaN,LAGDERA,Shantabak,0.0,0.0,P.O Box 3,Modogashe,Morris Mugambi,Nursing Officer in Charge,Y,Y,Operational
19162,Afwene Clinic,North Eastern,Garissa,Garissa,NaN,Medical Clinic,Private Practice - Clinical Officer,NaN,NaN,NaN,DUJIS,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,Y,Operational
17577,Afya Bora Clinic,Central,Kirinyaga,Kirinyaga North,Mwea,Medical Clinic,Private Practice - General Practitioner,Thiba,Kiarukungu,Next to Alfa Supermarket Opposite ,MWEA,Ngurubani,0.0,0.0,Unknown,Kerugoya,Dr Duncan Tumwa Lusweti,Doctor In Charge,N,Y,Operational
11919,Afya Bora Clinic (Meru South),Eastern,Tharaka Nithi,Meru South,Chuka,Medical Clinic,Private Enterprise (Institution),Kiang'ondu,Township,Wiyhin Chuka Town,CHUKA IGAMBANGOMBE,Chuka Town,0.0,0.0,P.O Box 526,Chuka,Keziah Kanyua Riungu,Nursing Officer in Charge,N,N,Operational
17819,Afya Bora Clinic (Mutomo),Eastern,Kitui,Mutomo,Mutomo,Medical Clinic,Private Practice - Nurse / Midwife,Kibwea,Kawelu,NaN,KITUI SOUTH,Mutomo Town,0.0,0.0,P.O Box 87,Mutomo,Mr. Muthami,Nursing Officer in Charge,N,N,Operational
10011,Afya Bora Clinic (Mwea),Central,Kirinyaga,Kirinyaga North,Mwea,Medical Clinic,Private Enterprise (Institution),Mutithi,Kabiriri,NaN,MWEA,Kandondgu,0.0,0.0,Unknown,Unknown,Peterson Ndegwa,Medical Superintendant,N,N,Operational
19966,Afya Bora Clinic Karia,Central,Kiambu,Githunguri,Githunguri,Medical Clinic,Private Practice - Nurse / Midwife,Githunguri,Kiairia,At Karia Market,GITHUNGURI,Kiairia,0.0,0.0,P.O Box 659,Githunguri,JAMES K MBUGUA,Nursing Officer in Charge,N,Y,Operational
19515,Afya Bora Health Care,Nairobi,Nairobi,Westlands,Kangemi,Medical Clinic,Non-Governmental Organizations,Kangemi,NaN,NaN,WESTLANDS,Unknown,12.0,1.0,Unknown,Unknown,Unknown,Unknown,Y,Y,Operational
19794,Afya Bora Health Clinic,Central,Nyandarua,Nyandarua West,Oljoro orok,Medical Clinic,Private Practice - Nurse / Midwife,Weru,Weru,Situated at Kasuku Township,OL KALOU,Kasuku,0.0,0.0,P.O Box 57,Oljoro orok,Titus Kariko Ngatia,Nursing Officer in Charge,N,N/A,Operational
19662,Afya Bora Mc,Rift Valley,Trans Nzoia,Trans Nzoia West,Central,Medical Clinic,Private Practice - Nurse / Midwife,Matisi,Kipsongo,At Kipsongo Estate near Kitale Technical College along Kitale/Kisawai roadl,SABOTI,Kitale,0.0,0.0,Unknown,Kitale,Benard Ojwang,Nursing Officer in Charge,N,Y,Operational
16411,Afya Bora Medical Clinic,Rift Valley,Nakuru,Njoro,Mau-Narok,Medical Clinic,Private Enterprise (Institution),Mau-Narok,Kianjoya,Kianjoya trading centre.,MOLO,Kianjoya,0.0,0.0,Unknown,Unknown,Susan Kariuki,Nursing Officer in Charge,N,N,Operational
16491,Afya Bora Medical Clinic (CFW Clinic Gichugu),Central,Kirinyaga,Kirinyaga East,Gichugu,Medical Clinic,Private Practice - Nurse / Midwife,Njukiini,Kanjuu,Gathoge Kutus- Embu Road,GICHUGU,Gathoge,0.0,0.0,P.O Box 58,Kianyaga,Magdaline Ngari,Nursing Officer in Charge,N,N,Operational
11200,Afya Bora Medical Clinic (Malindi),Coast,Kilifi,Magarini,Magarini,Medical Clinic,Private Practice - Nurse / Midwife,Fundi Issa,Marereni,Next to marereni market,MAGARINI,Malindi,0.0,0.0,P.O Box 87,Gongoni,Julie T. Watto,Nursing Officer in Charge,Y,Y,Operational
21165,Afya Bora Medical Clinic (Mirangine),Central,Nyandarua,Mirangine,Mirangine,Medical Clinic,Private Practice - Nurse / Midwife,Gwa Kiongo,Sabugo,NaN,OL KALOU,Mirangine,0.0,0.0,P.O Box 69,Mirangine,Faith Wambui Kiarie,Nursing Officer in Charge,N,Y,Operational
10007,Afya Bora Medical Clinic (Muchagara),Central,Kirinyaga,Kirinyaga East,Gichugu,Medical Clinic,Private Practice - Nurse / Midwife,Karumande,Thumaita,Situated in Muchagara market along Kianyaga/Kamugunda road,GICHUGU,Muchagara,0.0,0.0,P.O Box  29,Kianyaga,Alice W. Kinjanjui,Nursing Officer in Charge,N,N,Operational
10008,Afya Bora Medical Clinic (Nyeri South),Central,Nyeri,Nyeri Central,Municipality,Medical Clinic,Private Practice - Clinical Officer,Mukaro,Ruringu,Ruringu market,NYERI TOWN,Ruringu,0.0,0.0,P.O Box 12063,Nyeri,Esther Gachoiri,Clinical Officer,N,Y,Operational
14186,Afya Bora Medical Clinic (Turkana Central),Rift Valley,Turkana,Turkana Central,Central,Medical Clinic,Private Practice - Clinical Officer,Lodwar,Lodwar Town,Kobil - St Kevin secondary school road,TURKANA CENTRAL,Lodwar,0.0,0.0,Unknown,Unknown,Lawrence Lowoko,Hospital Director,N,Y,Operational
19551,Afya Bora Medical Clinic (Westlands),Nairobi,Nairobi,Westlands,Kangemi,Medical Clinic,Private Enterprise (Institution),Kangemi,NaN,NaN,WESTLANDS,Unknown,1.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Operational
11201,Afya Clinic,Coast,Taita Taveta,Wundanyi,Wundanyi,Medical Clinic,Private Enterprise (Institution),Wundanyi,Wundanyi,opposite Barclays bank Wundanyi,WUNDANYI,Wundanyi,0.0,0.0,P.O Box 1224,Wundanyi,Mr C Kalema A Philip,Clinical Officer,N,Y,Operational
14187,Afya Frank Medical Clinic,Rift Valley,Kajiado,Kajiado North,Ngong,Medical Clinic,Private Practice - General Practitioner,Nkaimurunya,Kandisi,NaN,KAJIADO NORTH,Ongata Rongai,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Operational
18486,Afya Health Care,Nairobi,Nairobi,Roysambu,Kasarani,Dispensary,Private Enterprise (Institution),Githurai,Githurai,"off kamiti rd ,Githurai 44 behind uncle sam near kimsa supermarket  opp Genesis Flats",ROYSAMBU,"off kamiti rd ,Githurai 44 behind uncle sam near kimsa supermarket  opp Genesis Flats",0.0,0.0,P.O Box 50248,Nairobi,Sammy Mutuma Nteere,Nursing Officer in Charge,N,Y,Operational
16294,Alnas Medical Clinic,North Eastern,Mandera,Mandera East,Central,Medical Clinic,Private Enterprise (Institution),Bulla Mpya,Bulla Mpya,NaN,MANDERA EAST,Mandera,0.0,0.0,Unknown,Mandera,Abdi H.Gedi,Unknown,N,N,Operational
19000,Alnasar Medical Clinic,North Eastern,Garissa,Garissa,NaN,Medical Clinic,Private Practice - Clinical Officer,NaN,NaN,NaN,DUJIS,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,Y,Operational
18067,Alpha Community Health Clinic (Migori),Nyanza,Migori,Migori,Suba Central,Medical Clinic,Private Practice - Nurse / Midwife,Suna Ragana,Oruba,The facility is located in Oruba Estate in Migori Town,MIGORI,Oruba Estate Migori Town,2.0,0.0,P.O Box 202,Suna Migori,Tiengo ,Nursing Officer in Charge,N,Y,Operational
19748,Alpha Dental Services,Rift Valley,Trans Nzoia,Trans Nzoia West,Central,Dental Clinic,Private Practice - Medical Specialist,Milimani,Milimani,Situated at Vision Gate building in Kitale opposite former divisional police station Kitale,SABOTI,Kitale,0.0,0.0,Unknown,Kitale,Dr Ndege,Doctor In Charge,N,Y,Operational
10022,Alpha Family Health Care,Central,Nyeri,Tetu,Tetu,Medical Clinic,Private Practice - Nurse / Midwife,Karundu,Unjiru,NaN,TETU,Giakanja,0.0,0.0,P.O Box P.O. Box 12316  ,Nyeri,Gladwin W. Wamuya,Nursing Officer in Charge,N,N,Operational
19880,Alpha Medical Agency,Western,Vihiga,Sabatia,Chavakali,Medical Clinic,Private Practice - Unspecified,Chavakali,NaN,Along Kakamega-Kapsabet rd,SABATIA,Chavakali Market,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Operational
16321,Alpha Medical Clinic,Rift Valley,Samburu,Samburu Central,Kirisia,Medical Clinic,Private Practice - Clinical Officer,Maralal,Maralal,Maralal Town near Chiefs Office,SAMBURU WEST,Maralal Town ,0.0,0.0,Unknown,Maralal,Moses Asikoye,Clinical Officer,N,Y,Operational
20992,Alpha Medical Clinic (Kambu),Eastern,Makueni,Kibwezi,Kambu,Medical Clinic,Private Practice - Clinical Officer,Kambu,Kambu,NaN,KIBWEZI,Kambu town,0.0,0.0,P.O Box 81,Makindu,Ezekiel  Nzuva Kingoo,Clinical Officer,N,Y,Operational
19321,Alpha Medical Clinic (Koibatek),Rift Valley,Baringo,Koibatek,Eldama Ravine,Medical Clinic,Private Practice - Nurse / Midwife,Ravine,Ravine,Baringo County Hotel Ground Floor,ELDAMA RAVINE,Eldama Ravine,0.0,0.0,P.O Box 102   ,Eldama Ravine,Ann Kandie,Nursing Officer in Charge,N,Y,Not-Operational
19040,Alpha Medical Clinic Mile Tisa,Rift Valley,Kajiado,Kajiado Central,Namanga,Medical Clinic,Private Practice - General Practitioner,Mile Tisa,NaN,Mile Tisa Trading Centre,KAJIADO CENTRAL,Mile Tisa,0.0,0.0,Unknown,Unknown,Unknown,Nursing Officer in Charge,N,Y,Operational
20929,Alpha Nursing Home,Eastern,Machakos,Masinga,Masinga,Medical Clinic,Private Enterprise (Institution),Kivaa,Kaewa,NaN,MASINGA,Kaewa,1.0,4.0,Unknown,Unknown,Unknown,Unknown,Y,Y,Operational
19356,Alphine Dental Centre (Kencom Hse),Nairobi,Nairobi,Starehe,Central,Dental Clinic,Private Practice - Unspecified,Central,Central,Located at KENCOM Hse(Nairobi),STAREHE,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,Y,Operational
20831,Alphine Health Care Centre,Western,Bungoma,Bungoma South,Kanduyi,Medical Clinic,Private Practice - Clinical Officer,Township,Township,"Along Mumias road, ",KANDUYI,St. Damiano Hospital,0.0,0.0,P.O Box 1911,Unknown,Rophine A. onyango,Clinical Officer,N,Y,Operational
21149,Alphond Medical Centre,Western,Kakamega,Mumias West,Mumias Central,Medical Clinic,Private Practice - Clinical Officer,Nabongo,Township,Mumias Musanda Road Behind Equity Bank,MUMIAS,Nabongo,3.0,0.0,P.O Box 455,Mumias,Pamela Atieno  Omondi,Hospital Director,N,Y,Operational
19461,Al-Ramah Healthcare,North Eastern,Garissa,Garissa,NaN,Medical Clinic,Private Practice - Nurse / Midwife,NaN,NaN,NaN,DUJIS,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,Y,Operational
13287,Al-Siha Nursing Home,North Eastern,Mandera,Mandera East,Central,Nursing Home,Private Enterprise (Institution),Bulla Mpya,Bulla Mpya,NaN,MANDERA EAST,Mandera,0.0,0.0,Unknown,Mandera,Adan Ismail,Unknown,N,N,Operational
13472,Alum Beach Dispensary,Nyanza,Homa Bay,Rachuonyo North,West Karachuonyo,Dispensary,Ministry of Health,West Kadhimu,Kayoo West,NaN,KARACHUONYO,Kandiege Market,0.0,0.0,P.O Box 47,Kendu Bay,Walter Kunda,Unknown,N,N,Operational
13473,Aluor Mission Health Centre,Nyanza,Siaya,Gem,Wagai,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,South Gem,Onyinyore,Rera - Aluor road,GEM,Aluor Market,0.0,0.0,Unknown,Unknown,Sister Victoria,Nursing Officer in Charge,Y,Y,Operational
15795,Alupe Sub-District Hospital,Western,Busia,Teso South,Chakol,Sub-District Hospital,Ministry of Health,Angorom,Alupe,NaN,AMAGORO,Busia,130.0,0.0,Please specify P.O. Box 35,Busia,Hongo,Unknown,Y,Y,Operational
10023,Ama (Africa Muslim Agency) Clinic,Central,Kiambu,Thika West,Thika Municipality,Health Centre,Supreme Council for Kenya Muslims,Thika,Komu,NaN,JUJA,Thika,26.0,6.0,P.O Box P.O. Box 4658,Thika,Mariam,Unknown,N,N,Operational
19215,Amaal Annex Nursing,North Eastern,Mandera,Mandera East,central,Nursing Home,Private Practice - Nurse / Midwife,central,central,NaN,MANDERA EAST,central,8.0,0.0,Unknown,Unknown,Unknown,Unknown,Y,Y,Operational
15796,Amagoro Nursing Home,Western,Busia,Teso North,Amagoro,Nursing Home,Private Enterprise (Institution),Amagoro,Amagoro,Along Bungoma Malaba road next DCs office Teso North,AMAGORO,Amagoro,7.0,0.0,P.O Box P.O. Box 1,Amagoro,Micah Epus,Clinical Officer,N,N,Operational
20684,Amaiga Dispensary (Manga),Nyanza,Nyamira,Manga,Kemera,Dispensary,Ministry of Health,Kemera,NaN,NaN,KITUTU MASABA,Kenyenya Market,2.0,2.0,P.O Box 3,Unknown,Judy Omariba,Nursing Officer in Charge,N,N,Operational
14198,Amakuriat Dispensary,Rift Valley,West Pokot,North Pokot,Alale,Dispensary,Other Faith Based,Alale,Amakuriat,Near Amakuriat trading centre,KACHELIBA,Makutano,0.0,0.0,Unknown,KACHELIBA,Sr Gabriella,Nursing Officer in Charge,N,N,Operational
16308,Amal Medical Clinic,North Eastern,Mandera,Mandera East,Central,Medical Clinic,Private Enterprise (Institution),Bulla Jamhuri,Bulla Jamhuria,NaN,MANDERA EAST,Mandera,0.0,0.0,Unknown,Mandera,Unknown,Unknown,N,N,Operational
20213,Amalya Medical Centre,Central,Kiambu,Kikuyu,Kikuyu,Medical Clinic,Private Practice - Clinical Officer,Gitaru,Gitaru,Green House Gitaru Shopping Centre,KABETE,Gitaru,0.0,0.0,P.O Box 459,Nakuru,Joyce Nduta Nguri,Clinical Officer,N,Y,Operational
10024,Amani Clinic,Central,Nyeri,Mathira East,Mathira,Medical Clinic,Private Practice - Clinical Officer,Konyu,Karatina,NaN,MATHIRA,Karatina,0.0,0.0,P.O Box P.O. Box 1412,Karatina,Unknown,Unknown,N,N,Not-Operational
18610,Atela Dispensary,Nyanza,Homa Bay,Rachuonyo South,Kabondo,Dispensary,Ministry of Health,Atela,Kodumo East,Along Kisii Kisumu road,KASIPUL/KABONDO,Near Chabera Market,0.0,6.0,P.O Box 42,Oyugis,Joash Bosire,Nursing Officer in Charge,N,N,Operational
13489,Atemo Health Centre,Nyanza,Homa Bay,Rachuonyo South,Kasipul,Health Centre,Christian Health Association of Kenya,Kojwach,Kamuga,NaN,KASIPUL/KABONDO,Ringa Market,10.0,1.0,P.O Box 5,Oyugis,Jane Akinyi,Nursing Officer in Charge,N,N,Operational
18169,Athi Complex Community Centre,Eastern,Machakos,Athi River,Mavoko,Nursing Home,Private Practice - General Practitioner,Athi River,Athi River,In Athi River Town,KATHIANI,Athi River Town,10.0,0.0,Unknown,Unknown,Geoffrey Ngesa,Unknown,N/A,N/A,Operational
10041,Athi Dispensary,Central,Kiambu,Thika West,Juja,Dispensary,Ministry of Health,kalimoni,kalimoni,JUJA FARM NEAR ATHI PRIMARY SCHOOL,JUJA,Jujafarm,0.0,0.0,P.O Box P.O. Box 227,Thika,Jane Kaari,Nursing Officer in Charge,N,N,Operational
11934,Athi Kamunyuni Dispensary,Eastern,Makueni,Kibwezi,Mtito Andei,Dispensary,Ministry of Health,Kambu,Kiteng'ei,"At Athi Kamunyuni Shopping Centre, 25 km east of Kambu Town, through Daranjani Railway Station",KIBWEZI,Kambu,2.0,0.0,P.O Box  222,Ngwata,Robert L. Mulwa,Nursing Officer in Charge,N,N,Operational
11935,Athi River Community Hospital,Eastern,Machakos,Athi River,Athi River,Medical Clinic,Private Enterprise (Institution),Mavoko,Mavoko,NaN,KATHIANI,Makadara,10.0,0.0,P.O Box  250,Athi River,Dr. Mutembei,Doctor In Charge,Y,Y,Operational
11936,Athi River Health Centre,Eastern,Machakos,Athi River,Athi River,Health Centre,Ministry of Health,Mavoko,Mavoko,"In Athi River Town,Adjacent to Mavoko County Council.",KATHIANI,Mavoko,6.0,4.0,P.O Box 145,Athi River,Pauline Nyangu,Clinical Officer,Y,Y,Operational
11937,Athi River Medical Services,Eastern,Machakos,Athi River,Athi River,Maternity Home,Private Enterprise (Institution),Mavoko,Mavoko,NaN,KATHIANI,Makadara,26.0,0.0,P.O Box 336,Athi River,George Muia,Hospital Director,Y,Y,Operational
13295,Athibohol Dispensary,North Eastern,Wajir,Wajir West,Hadado,Dispensary,Ministry of Health,Athibohol,Athibohol,NaN,WAJIR WEST,Griftu,0.0,0.0,P.O Box 13,Griftu,Richard R. Waigwa,Nursing Officer in Charge,N,N,Operational
19185,Athirunjine Runjine Dispensary,Eastern,Meru,Igembe Central,Ndoleli,Dispensary,Ministry of Health,Ndoleli,Antubetwekiongo,NaN,NTONYIRI,Antubetwe Market ,0.0,0.0,P.O Box 140,Laare,GEOFFREY KARUTI,Nursing Officer in Charge,N,Y,Operational
14220,Atiar Dispensary,Rift Valley,Baringo,Baringo North,Bartabwa,Dispensary,Community,Bartabwa,Atiar,NaN,BARINGO NORTH,Kabartonjo,0.0,0.0,P.O Box 120,Kabartonjo,Cyrine Komen,Nursing Officer in Charge,N,N,Operational
10042,Atlas Medical Clinic,Central,Nyeri,Nyeri South,Othaya,Medical Clinic,Private Practice - Nurse / Midwife,Iriaini,Kihugiru,NaN,OTHAYA,Othaya Town,0.0,0.0,P.O Box P.O. Box 516  ,Othaya,James K. Wamondo,Nursing Officer in Charge,N,N,Operational
16866,Avarende Medical Clinic,Western,Kakamega,Kakamega Central (Lurambi),Municipality,Medical Clinic,Private Enterprise (Institution),Bukhungu,Mahiakalu,Next to Sichirai Market 1 KM from Kakamega -Webuye Highway,LURAMBI,Sichirai Mkt,0.0,0.0,Unknown,Unknown,Florence Momanyi,Nursing Officer in Charge,N,N,Operational
16531,Avenue Health Care,Coast,Mombasa,Mvita,Island,Medical Clinic,Private Enterprise (Institution),Ganjoni,Ganjoni,NaN,MVITA,Mombasa,0.0,0.0,P.O Box 90180,Mombasa,Selestine Amunga,Unknown,N,N,Operational
19462,Avenue Health Care (Makadara),Nairobi,Nairobi,Makadara,Viwandani,Medical Clinic,Private Practice - General Practitioner,Viwandani,Viwandani,NaN,MAKADARA,Lungalunga,0.0,0.0,Unknown,Unknown,Magdaline Kariuki,Nursing Officer in Charge,N,N,Operational
13490,Avenue Health Care Clinic,Nyanza,Kisumu,Kisumu East,Winam,Medical Clinic,Private Enterprise (Institution),Township,Southern,NaN,KISUMU TOWN EAST,Kisumu,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Operational
18817,Avenue Health Care Nakuru,Rift Valley,Nakuru,Nakuru,Nakuru Municipality,Medical Clinic,Private Practice - General Practitioner,Viwandani,Near Maya Emporium,Town Centre,NAKURU TOWN,Central Town,0.0,0.0,P.O Box 48252,Nairobi,Dr Murugu,Doctor In Charge,N,Y,Operational
19083,Avenue Health Care Ongata Rongai,Rift Valley,Kajiado,Kajiado North,Ongata Rongai,Medical Clinic,Private Practice - General Practitioner,Nkaimurunya,Nkaimurunya,Magadi Road next to Uchumi Supermarket,KAJIADO NORTH,Ongata Rongai,0.0,0.0,Unknown,Unknown,Dr. Linda Oluoch,Doctor In Charge,Y,Y,Operational
